Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,day_average
2020,10,28,5186.870014,5059.576019,4951.003164,4916.668375,4894.800319,4878.053401,4868.433306,4881.803980,4881.828138,4958.820861,5085.040838,5224.570204,5421.659406,5581.904086,5737.226884,5730.932037,5616.908603,5551.204559,5508.890612,5475.916673,5439.451693,5433.464401,5464.006870,5561.489103,5603.237171,5666.779970,5751.343977,5847.196874,6019.072515,6172.249623,6303.761269,6495.842506,6653.673369,6821.112250,6896.730431,6936.226160,7012.353159,7119.326060,6994.444082,6869.745896,6761.774910,6560.617917,6374.337375,6190.698442,6029.602626,5917.543650,5726.221311,5527.464048,5803.372482
2020,10,29,5344.842091,5205.646143,5077.601295,4995.324049,4946.278689,4914.068764,4909.164364,4920.025485,4976.539802,5039.789991,5158.895442,5284.229255,5422.388368,5539.540349,5619.789807,5533.600732,5429.236829,5342.666079,5258.345298,5199.792473,5147.117141,5135.477259,5110.964400,5155.515972,5206.907648,5266.485390,5373.558999,5501.236198,5642.926601,5758.897154,5933.224841,6172.136403,6417.555561,6604.079596,6682.122923,6725.094031,6793.712963,6931.441157,6841.524261,6747.378533,6636.614322,6462.075750,6291.723364,6124.453140,5979.483693,5863.960534,5679.104265,5478.456905,5662.104048
2020,10,30,5284.731545,5131.307031,5025.696850,4950.370469,4905.466780,4880.794794,4938.747388,4870.098172,4934.365166,4998.475138,5103.793166,5227.169088,5384.423062,5526.863270,5592.504975,5537.805750,5447.916723,5407.415112,5360.469748,5313.646664,5302.400592,5291.783410,5295.118781,5353.156593,5418.839547,5444.374787,5506.087182,5536.329606,5678.064287,5808.445742,5953.846652,6161.561101,6374.416378,6562.170581,6687.458012,6719.023209,6766.970849,6908.188020,6821.933413,6729.153977,6625.417934,6456.060034,6288.430546,6132.906901,5986.892143,5883.211918,5693.117068,5495.615051,5681.313233
2020,10,31,5315.777048,5162.615760,5038.460147,4973.511602,4910.002108,4890.732773,4884.098996,4895.182474,4945.078786,5006.093331,5120.018594,5238.475933,5399.629567,5550.371148,5644.704127,5583.814630,5534.731927,5441.248380,5329.485784,5237.010668,5195.669105,5198.694177,5203.846098,5261.200605,5308.087538,5364.781268,5460.759639,5577.901858,5684.680350,5807.062526,5992.753228,6199.416399,6420.346981,6585.644564,6689.330731,6767.724111,6854.871304,7027.847796,6933.940472,6840.938378,6742.345217,6564.119733,6371.693862,6189.623729,6032.305585,5939.262541,5746.436938,5531.091966,5699.862927
2020,11,1,5350.487366,5200.458453,5076.862254,5011.847743,4970.718724,4944.669628,4933.701385,4949.868518,5004.280269,5066.202192,5175.386283,5285.259854,5469.337494,5600.358076,5720.608658,5724.229877,5646.365153,5553.218855,5445.328188,5347.620779,5298.998229,5304.724086,5325.094307,5396.484398,5430.742149,5486.702863,5553.606777,5678.464678,5783.870565,5860.194829,5971.304809,6180.933513,6378.885260,6534.040190,6608.498986,6598.261559,6618.585651,6768.002515,6685.587421,6612.729210,6523.383462,6346.779209,6210.048627,6089.828174,5983.244742,5911.098113,5751.159337,5535.557973,5706.325445
2020,11,2,5359.194189,5207.159972,5088.520111,4996.571749,4943.804083,4917.721091,4898.456075,4889.506421,4913.257882,4925.747008,4922.462735,4915.618764,4883.811623,4894.733656,4885.821784,4903.353202,4924.348351,4940.974443,4878.619374,4816.673963,4743.093954,4705.122533,4688.667925,4693.082542,4684.686969,4718.457784,4795.287807,4880.919186,5027.652007,5205.354571,5427.055200,5640.370739,5865.773643,6091.671380,6227.925157,6262.034673,6351.032532,6506.361114,6447.630395,6354.238153,6257.463021,6111.244123,6006.747212,5914.864769,5843.752942,5802.969667,5646.043248,5456.812223,5322.138999
2020,11,3,5374.631864,5244.817372,5133.262134,5041.639743,4991.738852,4946.221159,4921.348253,4914.743088,4915.498740,4908.268343,4964.838468,4934.815177,4776.699868,4742.656046,4733.782035,4735.322033,4730.729921,4744.535996,4710.324868,4690.359388,4673.445046,4661.972954,4734.842860,4681.016276,4724.575843,4778.594656,4904.929808,5021.130340,5174.374489,5328.876829,5562.306797,5791.541014,6024.780044,6245.310568,6419.266871,6530.269190,6687.490673,6847.709582,6762.478461,6648.925300,6541.310073,6352.397982,6211.199859,6065.773818,5942.506673,5859.819402,5696.318735,5502.352661,5386.078128
2020,11,4,5322.132801,5191.664836,5103.552892,5042.677969,4999.754654,4983.434799,4975.945904,4992.265199,5028.338628,5101.517504,5227.519960,5370.736149,5578.004523,5798.287075,5956.047181,5972.484493,5953.606676,5922.228607,5908.295213,5864.245596,5793.180624,5789.571515,5779.371887,5839.928138,5894.607103,5966.564251,6093.331263,6106.566227,6165.821792,6262.330728,6398.752382,6624.791139,6846.359884,7023.987965,7119.070461,7126.332394,7165.948183,7326.810805,7219.048204,7114.334693,6980.764778,6777.125413,6577.579410,6390.149427,6215.520029,6094.023088,5881.239110,5680.552923,6011.383427
2020,11,5,5489.946462,5356.360318,5235.627262,5161.058730,5126.659219,5089.538798,5066.486249,5071.144499,5107.853179,5164.634126,5280.318094,5404.395867,5586.996759,5788.452996,5920.872224,5921.173616,5824.013945,5789.500571,5752.454245,5741.335357,5738.583755,5725.381172,5749.900621,5783.650087,5821.626653,5893.924944,5951.784643,6109.783345,6243.822944,6376.058548,6495.456091,6646.652108,6803.742904,6947.977602,7007.993735,7019.949692,7061.443418,7206.872552,7112.893276,7001.683612,6897.825607,6711.888367,6500.563015,6322.370779,6132.945702,6048.458587,5878.020332,5669.090418,5994.565980
2020,11,6,5506.211515,5374.341944,5244.085716,5153.435100,5106.937796,5064.047029,5052.682760,5058.467377,5094.925789,5136.979403,5253.577784,5380.450425,5538.810819,5684.637219,5791.376256,5777.848214,5679.075124,5600.312887,5512.432826,5436.329547,5436.044582,5421.009196,5415.970925,5483.740657,5541.653059,5604.862084,5705.496687,5852.999443,5963.501777,6068.680773,6230.956935,6483.712989,6740.708740,6906.911896,6997.516232,7007.836521,7054.376845,7209.476650,7094.901422,7009.284873,6904.358654,6712.115295,6525.157208,6334.554669,6184.339692,6078.228528,5882.387589,5684.036449,5895.453873
